hora;potencia
0:00:00;51880
0:30:00;49960
1:00:00;47510
1:30:00;46710
2:00:00;44880
0:00:00;49240
0:30:00;47540
1:00:00;44380
1:30:00;44290
2:00:00;42540
0:00:00;47860
0:30:00;46280
1:00:00;43800
1:30:00;43870
2:00:00;41810
0:00:00;52190
0:30:00;49310
1:00:00;46710
1:30:00;46330
2:00:00;45090
0:00:00;52820
0:30:00;50760
1:00:00;47470
1:30:00;47410
2:00:00;45450
0:00:00;54170
0:30:00;51920
1:00:00;48420
1:30:00;48590
2:00:00;46950
0:00:00;54130
0:30:00;53710
1:00:00;49570
1:30:00;49120
2:00:00;47950
0:00:00;52910
0:30:00;51290
1:00:00;48190
1:30:00;47560
2:00:00;45360
0:00:00;50230
0:30:00;48490
1:00:00;45360
1:30:00;45720
2:00:00;42770
0:00:00;49210
0:30:00;47150
1:00:00;45790
1:30:00;45360
2:00:00;42600
0:00:00;53660
0:30:00;51910
1:00:00;48450
1:30:00;48510
2:00:00;46920
0:00:00;53630
0:30:00;52530
1:00:00;49940
1:30:00;48330
2:00:00;47130
0:00:00;55030
0:30:00;52530
1:00:00;51080
1:30:00;50770
2:00:00;47810
0:00:00;55280
0:30:00;53690
1:00:00;50380
1:30:00;49870
2:00:00;48300
0:00:00;54530
0:30:00;52330
1:00:00;49180
1:30:00;48420
2:00:00;47030
0:00:00;51170
0:30:00;48700
1:00:00;45750
1:30:00;45590
2:00:00;44450
0:00:00;49890
0:30:00;48150
1:00:00;46090
1:30:00;45920
2:00:00;44220
0:00:00;53560
0:30:00;51720
1:00:00;48870
1:30:00;48550
2:00:00;47190
0:00:00;54420
0:30:00;51860
1:00:00;49740
1:30:00;48920
2:00:00;47280
0:00:00;54760
0:30:00;53070
1:00:00;49780
1:30:00;48970
2:00:00;47550
0:00:00;53260
0:30:00;51670
1:00:00;48900
1:30:00;49060
2:00:00;47800
0:00:00;54210
0:30:00;52010
1:00:00;47750
1:30:00;47920
2:00:00;46150
0:00:00;50090
0:30:00;48110
1:00:00;45490
1:30:00;45540
2:00:00;43140
0:00:00;49250
0:30:00;47490
1:00:00;45470
1:30:00;45230
2:00:00;43810
0:00:00;53780
0:30:00;51830
1:00:00;48860
1:30:00;49280
2:00:00;47000
0:00:00;53660
0:30:00;51300
1:00:00;48150
1:30:00;48620
2:00:00;46630
0:00:00;54370
0:30:00;51670
1:00:00;48940
1:30:00;50020
2:00:00;47290
0:00:00;53820
0:30:00;52850
1:00:00;49970
1:30:00;49840
2:00:00;47970
0:00:00;53250
0:30:00;51050
1:00:00;47900
1:30:00;47390
2:00:00;45240
0:00:00;49180
0:30:00;48280
1:00:00;46190
1:30:00;45630
2:00:00;43320
0:00:00;49320
0:30:00;48380
1:00:00;45850
1:30:00;45960
2:00:00;44430
0:00:00;54010
0:30:00;52870
1:00:00;49690
1:30:00;49390
2:00:00;47620
0:00:00;53990
0:30:00;51430
1:00:00;48840
1:30:00;48400
2:00:00;46630
0:00:00;54620
0:30:00;52810
1:00:00;49830
1:30:00;49950
2:00:00;49220
0:00:00;55410
0:30:00;52400
1:00:00;49880
1:30:00;49970
2:00:00;48370
0:00:00;53850
0:30:00;52000
1:00:00;49310
1:30:00;48750
2:00:00;46490
0:00:00;51550
0:30:00;50530
1:00:00;47470
1:30:00;47770
2:00:00;45760
0:00:00;51140
0:30:00;50390
1:00:00;47700
1:30:00;48780
2:00:00;46700
0:00:00;55220
0:30:00;53930
1:00:00;51910
1:30:00;50780
2:00:00;48960
0:00:00;56330
0:30:00;54570
1:00:00;51860
1:30:00;51880
2:00:00;49910
0:00:00;58000
0:30:00;57740
1:00:00;53970
1:30:00;54680
2:00:00;53120
0:00:00;59660
0:30:00;57750
1:00:00;56070
1:30:00;54270
2:00:00;53200
0:00:00;59350
0:30:00;56400
1:00:00;54450
1:30:00;53470
2:00:00;52130
0:00:00;55010
0:30:00;54540
1:00:00;52220
1:30:00;52150
2:00:00;49960
0:00:00;55810
0:30:00;54590
1:00:00;52780
1:30:00;53110
2:00:00;50870
0:00:00;59940
0:30:00;58690
1:00:00;56620
1:30:00;56010
2:00:00;54650
0:00:00;60400
0:30:00;59660
1:00:00;56710
1:30:00;57260
2:00:00;55480
0:00:00;62230
0:30:00;61230
1:00:00;58580
1:30:00;57860
2:00:00;56870
0:00:00;61960
0:30:00;60770
1:00:00;57830
1:30:00;57150
2:00:00;56520
0:00:00;60720
0:30:00;58470
1:00:00;55590
1:30:00;55060
2:00:00;52670
0:00:00;54330
0:30:00;53350
1:00:00;50930
1:30:00;50870
2:00:00;48690
0:00:00;52620
0:30:00;52120
1:00:00;49650
1:30:00;49870
2:00:00;48450
0:00:00;58190
0:30:00;57180
1:00:00;54570
1:30:00;54280
2:00:00;52630
0:00:00;61340
0:30:00;60320
1:00:00;57000
1:30:00;57260
2:00:00;55450
0:00:00;61450
0:30:00;60780
1:00:00;57940
1:30:00;57870
2:00:00;55920
0:00:00;62090
0:30:00;61320
1:00:00;58120
1:30:00;58990
2:00:00;56200
0:00:00;61860
0:30:00;61200
1:00:00;58640
1:30:00;58530
2:00:00;55990
0:00:00;58100
0:30:00;56950
1:00:00;55860
1:30:00;55150
2:00:00;53040
0:00:00;59290
0:30:00;58310
1:00:00;56110
1:30:00;56030
2:00:00;53750
0:00:00;61060
0:30:00;59540
1:00:00;58540
1:30:00;57740
2:00:00;56380
0:00:00;62270
0:30:00;60560
1:00:00;58700
1:30:00;59200
2:00:00;57760
0:00:00;63950
0:30:00;62080
1:00:00;59980
1:30:00;60350
2:00:00;58280
0:00:00;62140
0:30:00;60480
1:00:00;58990
1:30:00;58770
2:00:00;56580
0:00:00;59850
0:30:00;59330
1:00:00;55470
1:30:00;56190
2:00:00;54300
0:00:00;56590
0:30:00;56270
1:00:00;54440
1:30:00;53190
2:00:00;51750
0:00:00;55730
0:30:00;55200
1:00:00;52780
1:30:00;53020
2:00:00;51300
0:00:00;57880
0:30:00;56900
1:00:00;54870
1:30:00;54960
2:00:00;53060
0:00:00;57720
0:30:00;56170
1:00:00;54320
1:30:00;54540
2:00:00;52690
0:00:00;65230
0:30:00;64220
1:00:00;62010
1:30:00;61580
2:00:00;60330
0:00:00;66260
0:30:00;64670
1:00:00;62520
1:30:00;62580
2:00:00;60300
0:00:00;64770
0:30:00;64180
1:00:00;60920
1:30:00;60690
2:00:00;58870
